epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,56.0000,56.0000,47.0000,63.0000,0.0000,62.0000,0.0000,63.0000,0.0000,139.0000,202.0000,0.0000,0.0000,141.0000,203.0000,0.0000,0.0000,138.0000,201.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,-1.1269,0.0110,0.0000,-3.0656,0.0236,0.0000,-0.1460,0.0034,0.0000,138.0000,0.0000,0.0000,201.0382,0.1920,0.0000,15.0000,0.4000,0.8713,1.0387,0.8713,1.0387,0.6203,0.3029,0.8534,0.2324
0.0500,87.0000,75.0000,96.0000,81.0000,0.0000,80.0000,0.0000,107.0000,0.0000,130.0000,211.0000,0.0000,0.0000,125.0000,205.0000,0.0000,0.0000,108.0000,215.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,7.9065,0.0155,0.0000,12.1983,0.0110,0.0000,1.5411,0.0279,0.0000,108.0000,0.0000,0.0000,214.5529,0.6000,0.0000,15.0000,0.4000,0.8387,0.3449,0.8387,0.3449,0.7555,0.1475,0.2409,0.1345
0.1000,99.0000,87.0000,99.0000,91.0000,0.0000,90.0000,0.0000,114.0000,0.0000,125.0000,216.0000,0.0000,0.0000,118.0000,208.0000,0.0000,0.0000,103.0000,217.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,12.1026,0.0891,0.0000,19.5372,0.3401,0.0000,4.2202,0.1119,0.0000,103.0000,0.0000,0.0000,215.9941,0.7642,0.0000,15.0000,0.4000,0.9289,0.2459,0.9289,0.2459,0.9148,0.0841,0.1930,0.0701
0.1500,95.0000,92.0000,100.0000,85.0000,0.0000,85.0000,0.0000,300.0000,0.0000,128.0000,213.0000,0.0000,0.0000,126.0000,211.0000,0.0000,0.0000,108.0000,408.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,9.8428,0.1770,0.0000,11.9985,0.2656,0.0000,8.0628,0.4580,0.0000,108.0000,0.0000,0.0000,inf,nan,nan,15.0000,0.4000,0.9086,0.1205,0.9086,0.1205,0.8998,0.0602,0.0914,0.0526
0.2000,90.0000,89.0000,94.0000,89.0000,0.0000,88.0000,0.0000,114.0000,0.0000,126.0000,215.0000,0.0000,0.0000,123.0000,211.0000,0.0000,0.0000,107.0000,221.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,11.5364,0.1178,0.0000,14.5098,0.1424,0.0000,7.5256,0.0162,0.0000,107.0000,0.0000,0.0000,221.2765,0.6913,0.0000,15.0000,0.4000,0.9749,0.0772,0.9749,0.0772,0.9777,0.0309,0.0527,0.0248
0.2500,97.0000,96.0000,99.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,108.0000,221.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0767,0.0035,0.0000,12.3145,0.0832,0.0000,7.5280,0.0176,0.0000,108.0000,0.0000,0.0000,221.0412,0.4717,0.0000,15.0000,0.4000,0.9903,0.0431,0.9903,0.0431,0.9956,0.0124,0.0365,0.0056
0.3000,93.0000,91.0000,96.0000,87.0000,0.0000,87.0000,0.0000,114.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,106.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.2251,0.0132,0.0000,13.9183,0.0392,0.0000,7.0996,0.0184,0.0000,106.0000,0.0000,0.0000,219.7441,0.4370,0.0000,15.0000,0.4000,0.9867,0.0300,0.9867,0.0300,0.9876,0.0111,0.0241,0.0079
0.3500,100.0000,98.0000,100.0000,87.0000,0.0000,87.0000,0.0000,114.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,106.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.2264,0.0131,0.0000,13.5036,0.0000,0.0000,7.3356,0.0041,0.0000,106.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,0.9968,0.0139,0.9968,0.0139,0.9958,0.0045,0.0111,0.0031
0.4000,98.0000,98.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1000,0.0000,0.0000,12.9220,0.0000,0.0000,7.3387,0.0000,0.0000,107.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,1.0002,0.0003,1.0002,0.0003,1.0002,0.0001,0.0002,0.0001
0.4500,96.0000,95.0000,98.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1222,0.0483,0.0000,13.0457,0.2628,0.0000,7.3680,0.0682,0.0000,107.0000,0.0000,0.0000,220.6059,1.2889,0.0000,15.0000,0.4000,1.0033,0.0139,1.0033,0.0139,1.0050,0.0048,0.0106,0.0039
0.5000,95.0000,96.0000,100.0000,87.0000,0.0000,87.0000,0.0000,114.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,106.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1501,0.0555,0.0000,13.1000,0.0000,0.0000,7.3387,0.0000,0.0000,106.0000,0.0000,0.0000,220.4206,0.4944,0.0000,15.0000,0.4000,1.0060,0.0259,1.0060,0.0259,1.0175,0.0115,0.0132,0.0108
