epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,64.0000,45.0000,33.0000,59.0000,0.0000,58.0000,0.0000,53.0000,0.0000,141.0000,200.0000,0.0000,0.0000,136.0000,194.0000,0.0000,0.0000,135.0000,188.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,-3.7044,0.1318,0.0000,1.2781,0.0931,0.0000,-9.9352,0.0062,0.0000,135.0000,0.0000,0.0000,186.4118,0.7989,0.0000,15.0000,0.4000,0.8748,1.6457,0.8748,1.6457,0.7629,0.3278,1.5146,0.1912
0.0500,82.0000,82.0000,88.0000,85.0000,0.0000,85.0000,0.0000,109.0000,0.0000,128.0000,213.0000,0.0000,0.0000,125.0000,210.0000,0.0000,0.0000,107.0000,216.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,9.9381,0.0390,0.0000,12.4688,0.2375,0.0000,5.7946,0.2598,0.0000,107.0000,0.0000,0.0000,215.8412,1.0524,0.0000,15.0000,0.4000,0.7688,0.3457,0.7688,0.3457,0.7298,0.1650,0.2530,0.1404
0.1000,92.0000,87.0000,95.0000,91.0000,0.0000,90.0000,0.0000,113.0000,0.0000,125.0000,216.0000,0.0000,0.0000,120.0000,210.0000,0.0000,0.0000,105.0000,218.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,12.9001,0.1030,0.0000,17.3505,0.3437,0.0000,6.8812,0.1213,0.0000,105.0000,0.0000,0.0000,217.8706,1.5575,0.0000,15.0000,0.4000,0.9664,0.2095,0.9664,0.2095,0.9547,0.0597,0.1753,0.0371
0.1500,93.0000,89.0000,98.0000,85.0000,0.0000,86.0000,0.0000,113.0000,0.0000,128.0000,213.0000,0.0000,0.0000,124.0000,210.0000,0.0000,0.0000,106.0000,219.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,9.8806,0.0122,0.0000,13.0157,0.0890,0.0000,6.0982,0.0186,0.0000,106.0000,0.0000,0.0000,218.5176,0.5004,0.0000,15.0000,0.4000,1.0217,0.0884,1.0217,0.0884,1.0340,0.0370,0.0531,0.0315
0.2000,93.0000,90.0000,100.0000,89.0000,0.0000,89.0000,0.0000,302.0000,0.0000,126.0000,215.0000,0.0000,0.0000,124.0000,213.0000,0.0000,0.0000,106.0000,408.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,11.8970,0.7721,0.0000,14.4262,2.3591,0.0000,10.4003,1.9654,0.0000,106.2088,0.4863,0.0000,inf,nan,nan,15.0000,0.4000,1.0080,0.0957,1.0080,0.0957,0.9943,0.0275,0.0787,0.0156
0.2500,97.0000,95.0000,100.0000,85.0000,0.0000,86.0000,0.0000,301.0000,0.0000,128.0000,213.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,408.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,9.9732,0.0872,0.0000,12.7259,0.4149,0.0000,7.3828,0.1194,0.0000,107.2324,0.4230,0.0000,inf,nan,nan,15.0000,0.4000,1.0150,0.0436,1.0150,0.0436,1.0344,0.0196,0.0243,0.0197
0.3000,99.0000,99.0000,99.0000,87.0000,0.0000,86.0000,0.0000,112.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,108.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0028,0.0263,0.0000,12.7190,0.1928,0.0000,7.2149,0.1075,0.0000,108.0000,0.0000,0.0000,219.8941,0.3081,0.0000,15.0000,0.4000,0.9763,0.0308,0.9763,0.0308,0.9716,0.0157,0.0229,0.0151
0.3500,98.0000,97.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1336,0.0643,0.0000,13.0291,0.2509,0.0000,7.3814,0.0797,0.0000,107.0000,0.0000,0.0000,220.7088,1.5267,0.0000,15.0000,0.4000,0.9991,0.0174,0.9991,0.0174,0.9989,0.0061,0.0124,0.0044
0.4000,99.0000,98.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1000,0.0000,0.0000,12.9220,0.0000,0.0000,7.3387,0.0000,0.0000,107.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,1.0000,0.0002,1.0000,0.0002,1.0000,0.0001,0.0001,0.0001
0.4500,98.0000,98.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1504,0.0555,0.0000,12.9115,0.0146,0.0000,7.4822,0.0692,0.0000,107.0000,0.0000,0.0000,219.9206,0.2708,0.0000,15.0000,0.4000,0.9962,0.0171,0.9962,0.0171,0.9969,0.0057,0.0134,0.0042
