epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,88.0000,97.0000,97.0000,89.0000,0.0000,83.0000,0.0000,83.0000,0.0000,126.0000,215.0000,0.0000,0.0000,139.0000,222.0000,0.0000,0.0000,142.0000,225.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,11.9642,0.0252,0.0000,-1.0674,0.0257,0.0000,18.5180,0.0000,0.0000,142.0000,0.0000,0.0000,225.0000,0.0000,0.0000,15.0000,0.4000,0.9242,1.1256,0.9242,1.1256,0.7704,0.1959,1.0579,0.1343
0.0500,79.0000,76.0000,94.0000,77.0000,0.0000,76.0000,0.0000,97.0000,0.0000,132.0000,209.0000,0.0000,0.0000,130.0000,206.0000,0.0000,0.0000,119.0000,216.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,4.9508,0.0417,0.0000,7.9550,0.0693,0.0000,2.5198,0.0165,0.0000,119.0000,0.0000,0.0000,215.3471,0.4950,0.0000,15.0000,0.4000,1.0304,0.4506,1.0304,0.4506,0.9710,0.1471,0.3425,0.0996
0.1000,95.0000,87.0000,100.0000,87.0000,0.0000,86.0000,0.0000,296.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,112.0000,408.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.3021,0.6768,0.0000,13.1178,1.8187,0.0000,7.8438,1.5896,0.0000,112.1294,0.3852,0.0000,inf,nan,nan,15.0000,0.4000,0.9612,0.1516,0.9612,0.1516,0.9412,0.0584,0.1042,0.0494
0.1500,93.0000,92.0000,97.0000,85.0000,0.0000,86.0000,0.0000,112.0000,0.0000,128.0000,213.0000,0.0000,0.0000,124.0000,210.0000,0.0000,0.0000,107.0000,219.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,9.7676,0.1507,0.0000,13.0125,0.0891,0.0000,6.5180,0.0000,0.0000,107.0000,0.0000,0.0000,218.4765,0.5002,0.0000,15.0000,0.4000,0.9675,0.1210,0.9675,0.1210,0.9479,0.0464,0.0842,0.0352
0.2000,95.0000,94.0000,96.0000,87.0000,0.0000,87.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,123.0000,210.0000,0.0000,0.0000,106.0000,219.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0687,0.0078,0.0000,14.0190,0.0569,0.0000,6.2904,0.1991,0.0000,106.0000,0.0000,0.0000,218.4765,0.5002,0.0000,15.0000,0.4000,1.0103,0.0786,1.0103,0.0786,1.0069,0.0250,0.0615,0.0165
0.2500,99.0000,97.0000,100.0000,87.0000,0.0000,87.0000,0.0000,114.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,106.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0919,0.0108,0.0000,13.3433,0.1978,0.0000,7.1191,0.0579,0.0000,106.0000,0.0000,0.0000,219.7000,0.5305,0.0000,15.0000,0.4000,0.9888,0.0399,0.9888,0.0399,0.9868,0.0143,0.0301,0.0098
0.3000,100.0000,98.0000,100.0000,87.0000,0.0000,87.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.2113,0.0000,0.0000,13.3659,0.1916,0.0000,7.3244,0.0346,0.0000,107.0000,0.0000,0.0000,219.9559,0.2057,0.0000,15.0000,0.4000,0.9911,0.0295,0.9911,0.0295,0.9888,0.0111,0.0213,0.0084
0.3500,97.0000,95.0000,99.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1000,0.0000,0.0000,12.8983,0.0131,0.0000,7.5156,0.0005,0.0000,107.0000,0.0000,0.0000,220.1912,0.3938,0.0000,15.0000,0.4000,0.9833,0.0144,0.9833,0.0144,0.9812,0.0100,0.0093,0.0098
