epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,48.0000,48.0000,74.0000,57.0000,0.0000,55.0000,0.0000,61.0000,0.0000,142.0000,199.0000,0.0000,0.0000,146.0000,201.0000,0.0000,0.0000,145.0000,206.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,-5.0120,0.0177,0.0000,-8.3927,0.1718,0.0000,-2.5968,0.0951,0.0000,145.0000,0.0000,0.0000,205.1794,0.4414,0.0000,15.0000,0.4000,0.8654,0.9548,0.8654,0.9548,0.7020,0.3061,0.7450,0.1889
0.0500,82.0000,71.0000,88.0000,83.0000,0.0000,83.0000,0.0000,110.0000,0.0000,129.0000,212.0000,0.0000,0.0000,124.0000,207.0000,0.0000,0.0000,106.0000,216.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,8.0776,0.0000,0.0000,13.2472,0.1946,0.0000,2.9670,0.1056,0.0000,106.0000,0.0000,0.0000,215.7559,0.4880,0.0000,15.0000,0.4000,0.9281,0.4771,0.9281,0.4771,0.7673,0.1912,0.2941,0.1720
0.1000,96.0000,96.0000,99.0000,87.0000,0.0000,87.0000,0.0000,107.0000,0.0000,127.0000,214.0000,0.0000,0.0000,127.0000,214.0000,0.0000,0.0000,116.0000,223.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0754,0.0105,0.0000,10.1577,0.0586,0.0000,10.0656,0.0068,0.0000,116.0000,0.0000,0.0000,221.9294,0.9990,0.0000,15.0000,0.4000,0.9249,0.2568,0.9249,0.2568,0.9083,0.0915,0.1951,0.0627
0.1500,86.0000,78.0000,96.0000,83.0000,0.0000,83.0000,0.0000,109.0000,0.0000,129.0000,212.0000,0.0000,0.0000,126.0000,209.0000,0.0000,0.0000,110.0000,219.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,8.3023,0.0298,0.0000,11.8911,0.0000,0.0000,5.5310,0.0191,0.0000,110.0000,0.0000,0.0000,218.4294,0.4957,0.0000,15.0000,0.4000,0.9888,0.1577,0.9888,0.1577,0.9823,0.0481,0.1254,0.0244
0.2000,95.0000,92.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0110,0.0000,0.0000,12.8923,0.0059,0.0000,7.0883,0.0169,0.0000,107.0000,0.0000,0.0000,219.6294,0.4837,0.0000,15.0000,0.4000,0.9654,0.0717,0.9654,0.0717,0.9643,0.0316,0.0483,0.0266
0.2500,97.0000,97.0000,98.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1206,0.0433,0.0000,12.9256,0.0253,0.0000,7.4947,0.0570,0.0000,107.0000,0.0000,0.0000,219.9088,0.2883,0.0000,15.0000,0.4000,1.0192,0.0437,1.0192,0.0437,1.0202,0.0161,0.0352,0.0130
0.3000,97.0000,96.0000,100.0000,87.0000,0.0000,87.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,124.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.2113,0.0000,0.0000,13.1000,0.0000,0.0000,7.3439,0.0299,0.0000,107.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,1.0081,0.0233,1.0081,0.0233,1.0076,0.0094,0.0160,0.0075
0.3500,99.0000,97.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.0776,0.0000,0.0000,12.9220,0.0000,0.0000,7.3387,0.0000,0.0000,107.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,1.0057,0.0141,1.0057,0.0141,1.0051,0.0053,0.0109,0.0037
0.4000,96.0000,98.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1170,0.0401,0.0000,12.9623,0.0746,0.0000,7.4198,0.0882,0.0000,107.0000,0.0000,0.0000,220.0000,0.0000,0.0000,15.0000,0.4000,0.9986,0.0010,0.9986,0.0010,0.9985,0.0008,0.0008,0.0007
0.4500,98.0000,97.0000,100.0000,87.0000,0.0000,86.0000,0.0000,113.0000,0.0000,127.0000,214.0000,0.0000,0.0000,125.0000,211.0000,0.0000,0.0000,107.0000,220.0000,0.0000,0.0000,137.0000,204.0000,0.0000,0.0000,10.1671,0.0545,0.0000,12.9220,0.0000,0.0000,7.5155,0.0000,0.0000,107.0000,0.0000,0.0000,220.5000,0.5007,0.0000,15.0000,0.4000,0.9961,0.0144,0.9961,0.0144,0.9946,0.0053,0.0106,0.0038
