epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,39.0000,39.0000,41.0000,64.0000,0.0000,61.0000,0.0000,66.0000,0.0000,193.0000,257.0000,0.0000,0.0000,198.0000,259.0000,0.0000,0.0000,196.0000,262.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-5.9751,0.0106,0.0000,-10.9104,0.0017,0.0000,-3.1506,0.0509,0.0000,196.0000,0.0000,0.0000,258.3834,1.1246,0.0000,20.0000,0.4000,2.6211,6.3040,2.6211,6.3040,1.4480,1.1610,6.0808,0.5000
0.0500,71.0000,71.0000,94.0000,98.0000,0.0000,98.0000,0.0000,119.0000,0.0000,176.0000,274.0000,0.0000,0.0000,176.0000,274.0000,0.0000,0.0000,164.0000,283.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6569,0.0002,0.0000,10.4212,0.3858,0.0000,11.6906,0.0130,0.0000,164.0000,0.0000,0.0000,283.1986,0.4928,0.0000,20.0000,0.4000,1.2319,1.8220,1.2319,1.8220,0.9652,0.3934,1.6596,0.2420
0.1000,76.0000,77.0000,90.0000,84.0000,0.0000,84.0000,0.0000,106.0000,0.0000,183.0000,267.0000,0.0000,0.0000,184.0000,268.0000,0.0000,0.0000,174.0000,280.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,4.3433,0.0865,0.0000,3.4811,0.1120,0.0000,5.5638,0.0345,0.0000,174.0855,0.2799,0.0000,279.5612,0.9287,0.0000,20.0000,0.4000,0.9154,0.5702,0.9154,0.5702,0.8050,0.1930,0.4281,0.1633
0.1500,83.0000,82.0000,90.0000,94.0000,0.0000,95.0000,0.0000,124.0000,0.0000,178.0000,272.0000,0.0000,0.0000,175.0000,270.0000,0.0000,0.0000,158.0000,282.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,9.6075,0.0448,0.0000,12.1406,0.1108,0.0000,7.6583,0.0042,0.0000,158.0000,0.0000,0.0000,281.7506,0.5674,0.0000,20.0000,0.4000,0.9179,0.2427,0.9179,0.2427,0.8716,0.1029,0.1526,0.0914
0.2000,90.0000,90.0000,99.0000,100.0000,0.0000,100.0000,0.0000,128.0000,0.0000,175.0000,275.0000,0.0000,0.0000,173.0000,273.0000,0.0000,0.0000,158.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.0669,0.0174,0.0000,14.4964,0.1032,0.0000,10.7264,0.0721,0.0000,158.0000,0.0000,0.0000,285.6582,0.4749,0.0000,20.0000,0.4000,1.0655,0.0786,1.0655,0.0786,1.0771,0.0412,0.0607,0.0394
0.2500,92.0000,92.0000,99.0000,98.0000,0.0000,98.0000,0.0000,128.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,273.0000,0.0000,0.0000,158.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.3983,0.1346,0.0000,12.2218,0.1574,0.0000,10.7729,0.0111,0.0000,158.0000,0.0000,0.0000,285.2725,0.4458,0.0000,20.0000,0.4000,1.0022,0.0594,1.0022,0.0594,0.9986,0.0173,0.0484,0.0071
0.3000,96.0000,95.0000,99.0000,98.0000,0.0000,98.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,273.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.4557,0.1358,0.0000,12.0827,0.0190,0.0000,10.8198,0.0400,0.0000,159.0000,0.0000,0.0000,285.5797,0.4942,0.0000,20.0000,0.4000,1.0028,0.0337,1.0028,0.0337,1.0011,0.0100,0.0273,0.0051
0.3500,96.0000,96.0000,99.0000,98.0000,0.0000,99.0000,0.0000,128.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.8191,0.1151,0.0000,13.0171,0.4720,0.0000,11.3687,0.1693,0.0000,159.0000,0.0000,0.0000,287.6744,1.6977,0.0000,20.0000,0.4000,0.9946,0.0140,0.9946,0.0140,0.9933,0.0051,0.0110,0.0038
0.4000,99.0000,99.0000,100.0000,98.0000,0.0000,99.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6671,0.0139,0.0000,12.4633,0.0679,0.0000,11.2918,0.0000,0.0000,159.0000,0.0000,0.0000,286.2425,0.4291,0.0000,20.0000,0.4000,1.0013,0.0006,1.0013,0.0006,1.0013,0.0006,0.0006,0.0006
0.4500,96.0000,97.0000,100.0000,98.0000,0.0000,99.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6581,0.0000,0.0000,12.4193,0.0000,0.0000,11.0214,0.0000,0.0000,159.0000,0.0000,0.0000,286.0162,0.1263,0.0000,20.0000,0.4000,1.0142,0.0171,1.0142,0.0171,1.0149,0.0093,0.0123,0.0081
