epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,24.0000,3.0000,11.0000,43.0000,0.0000,6.0000,0.0000,13.0000,0.0000,204.0000,247.0000,0.0000,0.0000,242.0000,248.0000,0.0000,0.0000,238.0000,251.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-16.3327,0.0935,0.0000,-54.1412,0.2437,0.0000,-15.3257,0.1730,0.0000,238.0092,0.0958,0.0000,inf,nan,nan,20.0000,0.4000,0.2615,2.8249,0.2615,2.8249,0.0000,0.5982,2.6635,0.5000
0.0500,100.0000,100.0000,100.0000,345.0000,0.0000,338.0000,0.0000,355.0000,0.0000,181.0000,526.0000,0.0000,0.0000,188.0000,526.0000,0.0000,0.0000,171.0000,526.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,inf,nan,nan,inf,nan,nan,inf,nan,nan,171.6259,2.5880,0.0000,inf,nan,nan,20.0000,0.4000,0.9246,1.5579,0.9246,1.5579,0.4812,0.4829,1.2247,0.3754
0.1000,62.0000,59.0000,56.0000,76.0000,0.0000,79.0000,0.0000,96.0000,0.0000,187.0000,263.0000,0.0000,0.0000,182.0000,261.0000,0.0000,0.0000,164.0000,260.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,0.8483,0.0560,0.0000,4.9065,0.1094,0.0000,-1.1562,0.0502,0.0000,164.0000,0.0000,0.0000,260.0000,0.0000,0.0000,20.0000,0.4000,0.9951,0.9075,0.9951,0.9075,0.9391,0.1897,0.8244,0.1016
0.1500,82.0000,77.0000,92.0000,96.0000,0.0000,97.0000,0.0000,122.0000,0.0000,177.0000,273.0000,0.0000,0.0000,172.0000,269.0000,0.0000,0.0000,158.0000,280.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,10.6559,0.0898,0.0000,15.0745,0.0161,0.0000,6.7536,0.0762,0.0000,158.0000,0.0000,0.0000,279.1940,1.0293,0.0000,20.0000,0.4000,0.9597,0.1828,0.9597,0.1828,0.9208,0.0759,0.1097,0.0637
0.2000,94.0000,90.0000,99.0000,100.0000,0.0000,100.0000,0.0000,132.0000,0.0000,175.0000,275.0000,0.0000,0.0000,174.0000,274.0000,0.0000,0.0000,154.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.1391,0.2123,0.0000,13.8254,0.4778,0.0000,11.7126,0.2767,0.0000,154.0393,0.1944,0.0000,inf,nan,nan,20.0000,0.4000,0.9708,0.1142,0.9708,0.1142,0.9679,0.0450,0.0762,0.0393
0.2500,96.0000,96.0000,100.0000,98.0000,0.0000,98.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,176.0000,274.0000,0.0000,0.0000,160.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6573,0.0006,0.0000,11.3490,0.2388,0.0000,11.7147,0.0384,0.0000,160.0000,0.0000,0.0000,286.9284,0.2581,0.0000,20.0000,0.4000,0.9866,0.0491,0.9866,0.0491,0.9943,0.0157,0.0401,0.0080
0.3000,94.0000,94.0000,100.0000,98.0000,0.0000,98.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,273.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6608,0.0087,0.0000,12.7377,0.1269,0.0000,10.8301,0.0092,0.0000,159.0000,0.0000,0.0000,286.4319,0.4959,0.0000,20.0000,0.4000,1.0018,0.0343,1.0018,0.0343,1.0054,0.0133,0.0218,0.0108
0.3500,93.0000,93.0000,99.0000,98.0000,0.0000,99.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6578,0.0005,0.0000,12.4949,0.0744,0.0000,10.9270,0.0960,0.0000,158.9423,0.2335,0.0000,286.0000,0.0000,0.0000,20.0000,0.4000,1.0107,0.0160,1.0107,0.0160,1.0111,0.0075,0.0121,0.0063
0.4000,93.0000,93.0000,100.0000,98.0000,0.0000,99.0000,0.0000,127.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,286.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.6621,0.0103,0.0000,12.4193,0.0000,0.0000,11.2918,0.0000,0.0000,159.0000,0.0000,0.0000,286.0000,0.0000,0.0000,20.0000,0.4000,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.0001,0.0000
0.4500,97.0000,97.0000,100.0000,98.0000,0.0000,99.0000,0.0000,128.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.7274,0.0783,0.0000,12.4572,0.1668,0.0000,11.6693,0.0484,0.0000,159.0000,0.0000,0.0000,287.3764,1.0019,0.0000,20.0000,0.4000,0.9929,0.0181,0.9929,0.0181,0.9900,0.0070,0.0135,0.0060
0.5000,93.0000,95.0000,99.0000,98.0000,0.0000,99.0000,0.0000,368.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,158.0000,526.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.2913,0.9424,0.0000,13.0019,2.5947,0.0000,12.5640,2.4050,0.0000,158.2818,0.6154,0.0000,inf,nan,nan,20.0000,0.4000,1.0199,0.0468,1.0199,0.0468,1.0165,0.0152,0.0408,0.0114
0.5500,93.0000,93.0000,97.0000,98.0000,0.0000,99.0000,0.0000,128.0000,0.0000,176.0000,274.0000,0.0000,0.0000,175.0000,274.0000,0.0000,0.0000,159.0000,287.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,11.7774,0.0186,0.0000,12.3865,0.0976,0.0000,11.6611,0.0091,0.0000,159.0000,0.0000,0.0000,287.0855,0.2799,0.0000,20.0000,0.4000,1.0211,0.0601,1.0211,0.0601,1.0050,0.0181,0.0524,0.0075
0.6000,91.0000,91.0000,100.0000,100.0000,0.0000,100.0000,0.0000,229.0000,0.0000,175.0000,275.0000,0.0000,0.0000,175.0000,275.0000,0.0000,0.0000,159.0000,388.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,12.1460,0.2456,0.0000,12.3340,0.6610,0.0000,12.3519,0.4664,0.0000,159.0785,0.2693,0.0000,inf,nan,nan,20.0000,0.4000,0.9485,0.1196,0.9485,0.1196,0.9326,0.0491,0.0854,0.0416
0.6500,93.0000,94.0000,99.0000,94.0000,0.0000,94.0000,0.0000,122.0000,0.0000,178.0000,272.0000,0.0000,0.0000,175.0000,269.0000,0.0000,0.0000,158.0000,280.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,9.5156,0.0601,0.0000,12.9258,0.2122,0.0000,6.7524,0.0921,0.0000,158.0000,0.0000,0.0000,280.2425,0.9123,0.0000,20.0000,0.4000,0.9815,0.1671,0.9815,0.1671,0.9817,0.0538,0.1292,0.0317
0.7000,77.0000,78.0000,94.0000,94.0000,0.0000,93.0000,0.0000,122.0000,0.0000,178.0000,272.0000,0.0000,0.0000,177.0000,270.0000,0.0000,0.0000,160.0000,282.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,9.1115,0.0678,0.0000,10.4731,0.3119,0.0000,7.8669,0.1044,0.0000,160.0000,0.0000,0.0000,281.3095,0.4628,0.0000,20.0000,0.4000,0.9880,0.1938,0.9880,0.1938,0.9962,0.0705,0.1334,0.0523
0.7500,76.0000,78.0000,92.0000,94.0000,0.0000,93.0000,0.0000,106.0000,0.0000,178.0000,272.0000,0.0000,0.0000,172.0000,265.0000,0.0000,0.0000,158.0000,264.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,9.0716,0.0162,0.0000,15.8892,0.1068,0.0000,2.7029,0.0559,0.0000,158.0000,0.0000,0.0000,263.5635,0.7399,0.0000,20.0000,0.4000,0.9034,0.8119,0.9034,0.8119,0.8312,0.1595,0.7528,0.0903
0.8000,59.0000,56.0000,81.0000,84.0000,0.0000,84.0000,0.0000,116.0000,0.0000,183.0000,267.0000,0.0000,0.0000,185.0000,269.0000,0.0000,0.0000,166.0000,282.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,4.7868,0.0260,0.0000,2.5033,0.0898,0.0000,6.3938,0.1525,0.0000,166.0000,0.0000,0.0000,281.4503,0.8405,0.0000,20.0000,0.4000,0.7551,0.4658,0.7551,0.4658,0.6099,0.2240,0.2761,0.2286
0.8500,82.0000,82.0000,83.0000,112.0000,0.0000,97.0000,0.0000,106.0000,0.0000,169.0000,281.0000,0.0000,0.0000,169.0000,266.0000,0.0000,0.0000,164.0000,270.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,18.0567,0.0000,0.0000,18.5680,0.0000,0.0000,3.8581,0.0590,0.0000,164.0000,0.0000,0.0000,269.1963,0.3977,0.0000,20.0000,0.4000,0.3752,2.8862,0.3752,2.8862,0.2299,0.4060,2.8392,0.3874
0.9000,31.0000,17.0000,16.0000,52.0000,0.0000,46.0000,0.0000,46.0000,0.0000,199.0000,251.0000,0.0000,0.0000,209.0000,255.0000,0.0000,0.0000,211.0000,257.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-11.5625,0.0496,0.0000,-21.8775,0.1476,0.0000,-7.6865,0.0942,0.0000,211.0046,0.0679,0.0000,255.6443,2.7501,0.0000,20.0000,0.4000,0.3106,0.5070,0.3106,0.5070,0.1375,0.4045,0.2787,0.4369
0.9500,32.0000,26.0000,40.0000,70.0000,0.0000,68.0000,0.0000,78.0000,0.0000,190.0000,260.0000,0.0000,0.0000,194.0000,262.0000,0.0000,0.0000,187.0000,265.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-2.3067,0.0192,0.0000,-6.1582,0.0536,0.0000,-1.1435,0.0996,0.0000,187.0000,0.0000,0.0000,258.3048,1.4238,0.0000,20.0000,0.4000,0.1955,0.7690,0.1955,0.7690,0.0119,0.4818,0.5569,0.4950
1.0000,10.0000,10.0000,8.0000,38.0000,0.0000,38.0000,0.0000,33.0000,0.0000,206.0000,244.0000,0.0000,0.0000,207.0000,245.0000,0.0000,0.0000,211.0000,244.0000,0.0000,0.0000,187.0000,263.0000,0.0000,0.0000,-18.2220,0.0342,0.0000,-19.5305,0.2014,0.0000,-17.3193,0.1182,0.0000,211.0000,0.0000,0.0000,244.0092,0.0958,0.0000,20.0000,0.4000,0.1097,0.2724,0.1097,0.2724,0.0199,0.4571,0.1764,0.4911
