epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,98.0000,38.2226,0.0000,38.0000,76.0000,0.1113,0.0000,5.0000,0.4000,0.1065,0.0096,0.1065,0.0096,0.4467,0.0096,0.4471
0.1111,97.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5657,0.0140,0.5657,0.0140,0.2172,0.0140,0.2182
0.2222,98.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8843,0.0169,0.8843,0.0169,0.0578,0.0169,0.0567
0.3333,94.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9921,0.0097,0.9921,0.0097,0.0055,0.0058,0.0059
0.4444,88.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9812,0.0101,0.9812,0.0101,0.0094,0.0101,0.0091
0.5556,87.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9169,0.0188,0.9169,0.0188,0.0415,0.0188,0.0425
0.6667,87.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.7827,0.0249,0.7827,0.0249,0.1086,0.0249,0.1054
0.7778,88.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5270,0.0141,0.5270,0.0141,0.2365,0.0141,0.2365
0.8889,79.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.3207,0.0088,0.3207,0.0088,0.3396,0.0088,0.3395
1.0000,78.0000,38.1759,0.0000,38.0000,76.0000,0.0880,0.0000,5.0000,0.4000,0.1456,0.0084,0.1456,0.0084,0.4272,0.0084,0.4270
