epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,97.0000,38.1759,0.0000,38.0000,76.0000,0.0880,0.0000,5.0000,0.4000,0.1283,0.0087,0.1283,0.0087,0.4358,0.0087,0.4360
0.1111,97.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5647,0.0190,0.5647,0.0190,0.2176,0.0190,0.2202
0.2222,96.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8415,0.0253,0.8415,0.0253,0.0792,0.0253,0.0811
0.3333,97.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9988,0.0107,0.9988,0.0107,0.0047,0.0052,0.0048
0.4444,88.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,1.0005,0.0067,1.0005,0.0067,0.0024,0.0047,0.0015
0.5556,90.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9124,0.0142,0.9124,0.0142,0.0438,0.0142,0.0436
0.6667,89.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.7189,0.0335,0.7189,0.0335,0.1406,0.0335,0.1384
0.7778,83.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5884,0.0230,0.5884,0.0230,0.2058,0.0230,0.2024
0.8889,85.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.3264,0.0119,0.3264,0.0119,0.3368,0.0119,0.3377
1.0000,78.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.1354,0.0055,0.1354,0.0055,0.4323,0.0055,0.4324
