epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,98.0000,38.1382,0.0000,38.0000,76.0000,0.0691,0.0000,5.0000,0.4000,0.1161,0.0084,0.1161,0.0084,0.4420,0.0084,0.4415
0.1111,97.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5452,0.0257,0.5452,0.0257,0.2274,0.0257,0.2263
0.2222,92.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8678,0.0116,0.8678,0.0116,0.0661,0.0116,0.0656
0.3333,95.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9998,0.0087,0.9998,0.0087,0.0032,0.0058,0.0024
0.4444,92.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,1.0046,0.0073,1.0046,0.0073,0.0030,0.0062,0.0018
0.5556,94.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.9266,0.0102,0.9266,0.0102,0.0367,0.0102,0.0377
0.6667,91.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.8017,0.0299,0.8017,0.0299,0.0992,0.0299,0.1005
0.7778,85.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.5458,0.0141,0.5458,0.0141,0.2271,0.0141,0.2273
0.8889,80.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.3228,0.0105,0.3228,0.0105,0.3386,0.0105,0.3380
1.0000,82.0000,38.2133,0.0000,38.0000,76.0000,0.1067,0.0000,5.0000,0.4000,0.1403,0.0071,0.1403,0.0071,0.4298,0.0071,0.4302
