epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,58.0000,50.3409,0.0351,86.0000,141.0000,-2.3296,0.0175,10.0000,0.4000,0.0101,0.0048,0.0101,0.0048,0.4949,0.0048,0.4950
0.1111,78.0000,55.4034,0.0000,86.0000,141.0000,0.2017,0.0000,10.0000,0.4000,0.3669,0.0160,0.3669,0.0160,0.3166,0.0160,0.3187
0.2222,87.0000,55.4034,0.0000,86.0000,141.0000,0.2017,0.0000,10.0000,0.4000,0.7730,0.0339,0.7730,0.0339,0.1135,0.0339,0.1064
0.3333,93.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.9889,0.0100,0.9889,0.0100,0.0063,0.0082,0.0054
0.4444,92.0000,54.5721,0.0000,86.0000,141.0000,-0.2140,0.0000,10.0000,0.4000,1.0034,0.0130,1.0034,0.0130,0.0053,0.0083,0.0044
0.5556,90.0000,54.4373,0.0000,86.0000,141.0000,-0.2814,0.0000,10.0000,0.4000,0.7991,0.0148,0.7991,0.0148,0.1005,0.0148,0.0997
0.6667,79.0000,54.4373,0.0000,86.0000,141.0000,-0.2814,0.0000,10.0000,0.4000,0.5253,0.0180,0.5253,0.0180,0.2373,0.0180,0.2364
0.7778,82.0000,54.4373,0.0000,86.0000,141.0000,-0.2814,0.0000,10.0000,0.4000,0.2811,0.0087,0.2811,0.0087,0.3595,0.0087,0.3582
0.8889,76.0000,54.5721,0.0000,86.0000,141.0000,-0.2140,0.0000,10.0000,0.4000,0.1442,0.0074,0.1442,0.0074,0.4279,0.0074,0.4287
1.0000,64.0000,53.7697,0.0000,86.0000,141.0000,-0.6151,0.0000,10.0000,0.4000,0.0418,0.0027,0.0418,0.0027,0.4791,0.0027,0.4790
