epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,79.0000,53.4980,0.0000,86.0000,141.0000,-0.7510,0.0000,10.0000,0.4000,0.0101,0.0016,0.0101,0.0016,0.4950,0.0016,0.4948
0.1111,83.0000,55.2399,0.0000,86.0000,141.0000,0.1200,0.0000,10.0000,0.4000,0.3912,0.0124,0.3912,0.0124,0.3044,0.0124,0.3036
0.2222,88.0000,54.5116,0.0000,86.0000,141.0000,-0.2442,0.0000,10.0000,0.4000,0.7252,0.0146,0.7252,0.0146,0.1374,0.0146,0.1384
0.3333,96.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,1.0088,0.0089,1.0088,0.0089,0.0049,0.0077,0.0044
0.4444,92.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.9780,0.0146,0.9780,0.0146,0.0115,0.0130,0.0103
0.5556,86.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.8286,0.0196,0.8286,0.0196,0.0857,0.0196,0.0840
0.6667,84.0000,55.2399,0.0000,86.0000,141.0000,0.1200,0.0000,10.0000,0.4000,0.5158,0.0171,0.5158,0.0171,0.2421,0.0171,0.2437
0.7778,76.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.2995,0.0129,0.2995,0.0129,0.3503,0.0129,0.3504
0.8889,64.0000,55.4034,0.0000,86.0000,141.0000,0.2017,0.0000,10.0000,0.4000,0.1552,0.0097,0.1552,0.0097,0.4224,0.0097,0.4222
1.0000,59.0000,53.4813,0.0000,86.0000,141.0000,-0.7593,0.0000,10.0000,0.4000,0.0401,0.0031,0.0401,0.0031,0.4799,0.0031,0.4797
