epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,60.0000,49.4813,0.0000,86.0000,141.0000,-2.7593,0.0000,10.0000,0.4000,0.0097,0.0034,0.0097,0.0034,0.4952,0.0034,0.4953
0.1111,88.0000,55.2399,0.0000,86.0000,141.0000,0.1200,0.0000,10.0000,0.4000,0.3658,0.0186,0.3658,0.0186,0.3171,0.0186,0.3180
0.2222,87.0000,55.4034,0.0000,86.0000,141.0000,0.2017,0.0000,10.0000,0.4000,0.7207,0.0300,0.7207,0.0300,0.1397,0.0300,0.1400
0.3333,93.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,1.0048,0.0123,1.0048,0.0123,0.0050,0.0086,0.0042
0.4444,89.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.9944,0.0082,0.9944,0.0082,0.0040,0.0058,0.0036
0.5556,88.0000,55.2399,0.0000,86.0000,141.0000,0.1200,0.0000,10.0000,0.4000,0.7798,0.0183,0.7798,0.0183,0.1101,0.0183,0.1116
