epsilon,Coverage,Avg_length,Std_length,Original_interval_bottom,Original_interval_upper,quantile,std_quantile,horizon,epsilon_pi_b,avg_weights,std_weights,w_hat/w,std_w_hat/w,avg_delta_w,std_delta_w,median_delta_w
0.0000,55.0000,45.7697,0.0000,86.0000,141.0000,-4.6151,0.0000,10.0000,0.4000,0.0112,0.0042,0.0112,0.0042,0.4944,0.0042,0.4944
0.1111,80.0000,55.4034,0.0000,86.0000,141.0000,0.2017,0.0000,10.0000,0.4000,0.3611,0.0143,0.3611,0.0143,0.3194,0.0143,0.3205
0.2222,81.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.7112,0.0256,0.7112,0.0256,0.1444,0.0256,0.1444
0.3333,91.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,1.0064,0.0127,1.0064,0.0127,0.0057,0.0085,0.0050
0.4444,84.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,1.0087,0.0109,1.0087,0.0109,0.0059,0.0076,0.0060
0.5556,86.0000,54.5116,0.0000,86.0000,141.0000,-0.2442,0.0000,10.0000,0.4000,0.8072,0.0137,0.8072,0.0137,0.0964,0.0137,0.0953
0.6667,87.0000,54.5721,0.0000,86.0000,141.0000,-0.2140,0.0000,10.0000,0.4000,0.5269,0.0143,0.5269,0.0143,0.2365,0.0143,0.2359
0.7778,78.0000,55.1958,0.0000,86.0000,141.0000,0.0979,0.0000,10.0000,0.4000,0.2568,0.0177,0.2568,0.0177,0.3716,0.0177,0.3708
0.8889,66.0000,53.8698,0.0000,86.0000,141.0000,-0.5651,0.0000,10.0000,0.4000,0.1439,0.0072,0.1439,0.0072,0.4281,0.0072,0.4277
1.0000,64.0000,53.8593,0.0000,86.0000,141.0000,-0.5703,0.0000,10.0000,0.4000,0.0452,0.0037,0.0452,0.0037,0.4774,0.0037,0.4775
