epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,78.0000,78.0000,91.0000,69.0000,0.0000,68.0000,0.0000,90.0000,0.0000,77.0000,146.0000,0.0000,0.0000,75.0000,143.0000,0.0000,0.0000,59.0000,149.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,5.8929,0.1701,0.0000,8.1909,0.0800,0.0000,3.3982,0.1145,0.0000,59.0000,0.0000,0.0000,149.0377,0.7061,0.0000,10.0000,0.4000,0.9376,0.2291,0.9376,0.2291,0.9039,0.0923,0.1492,0.0763
0.0500,88.0000,87.0000,100.0000,69.0000,0.0000,70.0000,0.0000,88.0000,0.0000,77.0000,146.0000,0.0000,0.0000,75.0000,145.0000,0.0000,0.0000,65.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,6.7180,0.0000,0.0000,8.2498,0.0887,0.0000,5.2732,0.0020,0.0000,65.0000,0.0000,0.0000,152.6234,0.4855,0.0000,10.0000,0.4000,0.9813,0.1536,0.9813,0.1536,0.9923,0.0440,0.1272,0.0151
0.1000,97.0000,95.0000,100.0000,75.0000,0.0000,75.0000,0.0000,96.0000,0.0000,74.0000,149.0000,0.0000,0.0000,70.0000,145.0000,0.0000,0.0000,56.0000,152.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,9.0029,0.0927,0.0000,12.5840,0.2358,0.0000,5.3174,0.0604,0.0000,56.0000,0.0000,0.0000,151.5774,0.4950,0.0000,10.0000,0.4000,0.9842,0.1205,0.9842,0.1205,0.9780,0.0437,0.0845,0.0347
0.1500,99.0000,95.0000,100.0000,73.0000,0.0000,73.0000,0.0000,94.0000,0.0000,75.0000,148.0000,0.0000,0.0000,73.0000,146.0000,0.0000,0.0000,60.0000,154.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.2751,0.0001,0.0000,10.3335,0.2405,0.0000,6.8910,0.0000,0.0000,60.0000,0.0000,0.0000,153.2552,0.4369,0.0000,10.0000,0.4000,1.0011,0.0953,1.0011,0.0953,1.0041,0.0366,0.0608,0.0293
0.2000,96.0000,94.0000,98.0000,73.0000,0.0000,74.0000,0.0000,96.0000,0.0000,75.0000,148.0000,0.0000,0.0000,72.0000,146.0000,0.0000,0.0000,57.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.4033,0.0000,0.0000,11.1376,0.0052,0.0000,6.8910,0.0000,0.0000,57.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,1.0298,0.0433,1.0298,0.0433,1.0439,0.0231,0.0249,0.0241
0.2500,98.0000,98.0000,100.0000,73.0000,0.0000,73.0000,0.0000,94.0000,0.0000,75.0000,148.0000,0.0000,0.0000,73.0000,146.0000,0.0000,0.0000,59.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.3118,0.0203,0.0000,10.8220,0.0000,0.0000,6.8910,0.0000,0.0000,59.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,0.9878,0.0358,0.9878,0.0358,0.9883,0.0136,0.0263,0.0097
0.3000,95.0000,94.0000,99.0000,73.0000,0.0000,74.0000,0.0000,94.0000,0.0000,75.0000,148.0000,0.0000,0.0000,72.0000,146.0000,0.0000,0.0000,59.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.4005,0.0122,0.0000,11.1322,0.0000,0.0000,6.8910,0.0000,0.0000,59.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,0.9931,0.0257,0.9931,0.0257,0.9920,0.0094,0.0189,0.0062
0.3500,96.0000,96.0000,98.0000,73.0000,0.0000,74.0000,0.0000,96.0000,0.0000,75.0000,148.0000,0.0000,0.0000,72.0000,146.0000,0.0000,0.0000,57.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.5091,0.0000,0.0000,11.1427,0.0000,0.0000,6.9509,0.0879,0.0000,57.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,0.9971,0.0129,0.9971,0.0129,0.9978,0.0039,0.0106,0.0024
0.4000,97.0000,97.0000,98.0000,73.0000,0.0000,75.0000,0.0000,94.0000,0.0000,75.0000,148.0000,0.0000,0.0000,72.0000,147.0000,0.0000,0.0000,59.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.4613,0.0528,0.0000,11.1322,0.0000,0.0000,6.9950,0.0939,0.0000,59.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,1.0003,0.0002,1.0003,0.0002,1.0003,0.0001,0.0002,0.0001
0.4500,95.0000,93.0000,99.0000,73.0000,0.0000,74.0000,0.0000,94.0000,0.0000,75.0000,148.0000,0.0000,0.0000,72.0000,146.0000,0.0000,0.0000,59.0000,153.0000,0.0000,0.0000,83.0000,140.0000,0.0000,0.0000,8.4000,0.0131,0.0000,11.1322,0.0000,0.0000,6.8910,0.0000,0.0000,59.0000,0.0000,0.0000,153.0000,0.0000,0.0000,10.0000,0.4000,1.0138,0.0133,1.0138,0.0133,1.0163,0.0083,0.0096,0.0083
