epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,99.0000,100.0000,100.0000,49.0000,0.0000,50.0000,0.0000,62.0000,0.0000,33.0000,82.0000,0.0000,0.0000,30.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,6.9041,0.0625,0.0000,9.8691,0.0000,0.0000,4.0506,0.0079,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0064,0.0864,1.0064,0.0864,1.0095,0.0271,0.0675,0.0158
0.0500,100.0000,100.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6428,0.0159,0.0000,10.3812,0.1044,0.0000,4.0478,0.0092,0.0000,22.0000,0.0000,0.0000,83.7143,0.4535,0.0000,5.0000,0.4000,1.0056,0.0758,1.0056,0.0758,1.0117,0.0282,0.0508,0.0226
0.1000,98.0000,97.0000,100.0000,51.0000,0.0000,49.0000,0.0000,61.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,78.0000,0.0000,0.0000,22.0000,83.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.4721,0.0621,0.0000,10.2770,0.0114,0.0000,2.4882,0.2354,0.0000,22.0000,0.0000,0.0000,82.4887,0.5018,0.0000,5.0000,0.4000,1.0149,0.0606,1.0149,0.0606,1.0231,0.0239,0.0401,0.0199
0.1500,100.0000,100.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.8691,0.0000,0.0000,10.5854,0.0000,0.0000,3.6885,0.0945,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0341,0.0478,1.0341,0.0478,1.0298,0.0221,0.0386,0.0166
0.2000,100.0000,95.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.4925,0.0000,0.0000,10.2841,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0011,0.0309,1.0011,0.0309,1.0071,0.0104,0.0228,0.0073
0.2500,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6223,0.0111,0.0000,10.2841,0.0000,0.0000,3.7728,0.0917,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0018,0.0194,1.0018,0.0194,1.0028,0.0059,0.0154,0.0036
0.3000,99.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6539,0.0158,0.0000,10.5092,0.0358,0.0000,3.8758,0.0824,0.0000,22.0000,0.0000,0.0000,84.1729,0.3796,0.0000,5.0000,0.4000,1.0066,0.0135,1.0066,0.0135,1.0069,0.0057,0.0099,0.0047
0.3500,98.0000,98.0000,99.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.5023,0.0286,0.0000,3.8382,0.0400,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0068,0.0070,1.0068,0.0070,1.0084,0.0042,0.0051,0.0043
0.4000,98.0000,98.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0002,0.0001,1.0002,0.0001,1.0002,0.0001,0.0001,0.0001
0.4500,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.7160,0.0217,0.0000,10.5847,0.0081,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9875,0.0117,0.9875,0.0117,0.9856,0.0075,0.0083,0.0075
