epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,100.0000,100.0000,100.0000,53.0000,0.0000,50.0000,0.0000,62.0000,0.0000,31.0000,84.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.9687,0.0679,0.0000,10.6525,0.0182,0.0000,3.5793,0.1317,0.0000,22.0000,0.0000,0.0000,83.7744,0.4195,0.0000,5.0000,0.4000,1.0283,0.0831,1.0283,0.0831,1.0130,0.0249,0.0724,0.0118
0.0500,100.0000,100.0000,100.0000,49.0000,0.0000,50.0000,0.0000,61.0000,0.0000,33.0000,82.0000,0.0000,0.0000,30.0000,80.0000,0.0000,0.0000,23.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,6.6574,0.0000,0.0000,9.8538,0.0447,0.0000,4.0217,0.0000,0.0000,23.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0116,0.0717,1.0116,0.0717,1.0161,0.0251,0.0524,0.0181
0.1000,98.0000,96.0000,99.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.7240,0.0000,0.0000,10.5854,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9979,0.0595,0.9979,0.0595,0.9869,0.0185,0.0466,0.0120
0.1500,100.0000,100.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0169,0.0430,1.0169,0.0430,1.0214,0.0182,0.0286,0.0152
0.2000,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6253,0.0035,0.0000,10.3295,0.0864,0.0000,3.8081,0.0628,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9836,0.0374,0.9836,0.0374,0.9786,0.0161,0.0250,0.0140
0.2500,99.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.4173,0.1005,0.0000,3.7483,0.1002,0.0000,22.0000,0.0000,0.0000,83.7669,0.4244,0.0000,5.0000,0.4000,1.0139,0.0214,1.0139,0.0214,1.0182,0.0104,0.0146,0.0097
0.3000,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.4627,0.0732,0.0000,3.6256,0.0000,0.0000,22.0000,0.0000,0.0000,83.8421,0.3660,0.0000,5.0000,0.4000,1.0101,0.0182,1.0101,0.0182,1.0122,0.0083,0.0124,0.0073
0.3500,100.0000,100.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6474,0.0148,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9986,0.0070,0.9986,0.0070,0.9981,0.0025,0.0051,0.0017
0.4000,99.0000,98.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0000,0.0001,1.0000,0.0001,1.0000,0.0000,0.0000,0.0000
0.4500,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9915,0.0065,0.9915,0.0065,0.9910,0.0046,0.0053,0.0045
