epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,100.0000,100.0000,100.0000,53.0000,0.0000,52.0000,0.0000,63.0000,0.0000,31.0000,84.0000,0.0000,0.0000,28.0000,80.0000,0.0000,0.0000,21.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,8.0345,0.0047,0.0000,11.0159,0.0027,0.0000,4.0217,0.0000,0.0000,21.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0328,0.0821,1.0328,0.0821,1.0474,0.0359,0.0515,0.0353
0.0500,99.0000,98.0000,100.0000,53.0000,0.0000,50.0000,0.0000,61.0000,0.0000,31.0000,84.0000,0.0000,0.0000,28.0000,78.0000,0.0000,0.0000,22.0000,83.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.9720,0.0665,0.0000,10.8428,0.1792,0.0000,2.5165,0.2171,0.0000,22.0000,0.0000,0.0000,83.4887,0.5018,0.0000,5.0000,0.4000,0.9894,0.0821,0.9894,0.0821,0.9860,0.0306,0.0557,0.0224
0.1000,98.0000,98.0000,100.0000,53.0000,0.0000,51.0000,0.0000,62.0000,0.0000,31.0000,84.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.9884,0.0562,0.0000,10.6509,0.0207,0.0000,4.0144,0.0367,0.0000,22.0000,0.0000,0.0000,83.9624,0.1909,0.0000,5.0000,0.4000,1.0071,0.0574,1.0071,0.0574,1.0180,0.0208,0.0401,0.0150
0.1500,100.0000,100.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6895,0.0334,0.0000,10.5197,0.0424,0.0000,4.0230,0.0042,0.0000,22.0000,0.0000,0.0000,84.1504,0.3588,0.0000,5.0000,0.4000,1.0079,0.0387,1.0079,0.0387,1.0148,0.0143,0.0272,0.0102
0.2000,99.0000,100.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.4690,0.0662,0.0000,3.6256,0.0000,0.0000,22.0000,0.0000,0.0000,83.8571,0.3513,0.0000,5.0000,0.4000,1.0041,0.0283,1.0041,0.0283,1.0033,0.0097,0.0211,0.0054
0.2500,100.0000,99.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6304,0.0114,0.0000,10.4925,0.0000,0.0000,3.9913,0.0703,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9931,0.0216,0.9931,0.0216,0.9897,0.0084,0.0154,0.0071
0.3000,98.0000,97.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6141,0.0183,0.0000,10.4126,0.1017,0.0000,3.6256,0.0000,0.0000,22.0000,0.0000,0.0000,83.6617,0.4749,0.0000,5.0000,0.4000,0.9961,0.0161,0.9961,0.0161,0.9940,0.0060,0.0113,0.0047
0.3500,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6704,0.0265,0.0000,10.5281,0.0453,0.0000,3.8512,0.0610,0.0000,22.0000,0.0000,0.0000,84.0677,0.2521,0.0000,5.0000,0.4000,0.9941,0.0083,0.9941,0.0083,0.9935,0.0039,0.0065,0.0035
0.4000,100.0000,97.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.0001,0.0001
0.4500,97.0000,95.0000,99.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4967,0.0193,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9963,0.0103,0.9963,0.0103,0.9969,0.0037,0.0080,0.0025
0.5000,100.0000,97.0000,100.0000,51.0000,0.0000,51.0000,0.0000,130.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,152.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.8368,0.1271,0.0000,10.6860,0.1900,0.0000,4.0329,0.0179,0.0000,22.0000,0.0000,0.0000,inf,nan,nan,5.0000,0.4000,1.0051,0.0140,1.0051,0.0140,1.0054,0.0053,0.0104,0.0040
0.5500,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6990,0.0324,0.0000,10.5574,0.0427,0.0000,3.8219,0.0389,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0038,0.0235,1.0038,0.0235,1.0039,0.0086,0.0165,0.0064
0.6000,98.0000,95.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.5854,0.0000,0.0000,10.2841,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9810,0.0459,0.9810,0.0459,0.9833,0.0186,0.0331,0.0135
0.6500,97.0000,97.0000,99.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6594,0.0114,0.0000,10.5707,0.0340,0.0000,3.2276,0.0000,0.0000,22.0000,0.0000,0.0000,83.6842,0.4666,0.0000,5.0000,0.4000,1.0014,0.0335,1.0014,0.0335,1.0015,0.0114,0.0246,0.0071
0.7000,95.0000,96.0000,97.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6409,0.0160,0.0000,10.5560,0.0433,0.0000,3.1811,0.0864,0.0000,22.0000,0.0000,0.0000,83.6466,0.4798,0.0000,5.0000,0.4000,0.9871,0.0513,0.9871,0.0513,0.9815,0.0197,0.0354,0.0154
0.7500,94.0000,97.0000,100.0000,51.0000,0.0000,50.0000,0.0000,63.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,21.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6945,0.0332,0.0000,10.6097,0.0342,0.0000,3.2725,0.1264,0.0000,21.0000,0.0000,0.0000,83.6842,0.4666,0.0000,5.0000,0.4000,0.9919,0.0603,0.9919,0.0603,1.0032,0.0196,0.0466,0.0097
0.8000,94.0000,94.0000,99.0000,51.0000,0.0000,49.0000,0.0000,61.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,78.0000,0.0000,0.0000,22.0000,83.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6075,0.0201,0.0000,10.4925,0.0000,0.0000,2.0758,0.0044,0.0000,22.0000,0.0000,0.0000,82.5113,0.5018,0.0000,5.0000,0.4000,0.9801,0.1012,0.9801,0.1012,0.9793,0.0338,0.0779,0.0188
