epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,14.0000,0.0000,5.0000,35.0000,0.0000,0.0000,0.0000,4.0000,0.0000,267.0000,302.0000,0.0000,0.0000,303.0000,303.0000,0.0000,0.0000,299.0000,303.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,-22.5869,0.0000,0.0000,-58.2416,0.0000,0.0000,-21.7669,0.0000,0.0000,299.0000,0.0000,0.0000,303.0000,0.0000,0.0000,25.0000,0.4000,0.8504,14.2116,0.8504,14.2116,0.0000,0.9088,14.0956,0.5000
0.0500,57.0000,56.0000,78.0000,89.0000,0.0000,89.0000,0.0000,105.0000,0.0000,240.0000,329.0000,0.0000,0.0000,239.0000,328.0000,0.0000,0.0000,234.0000,339.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,4.5724,0.0117,0.0000,5.4796,0.0000,0.0000,3.1665,0.1281,0.0000,234.0000,0.0000,0.0000,338.2367,0.5325,0.0000,25.0000,0.4000,0.7217,0.9854,0.7217,0.9854,0.6056,0.2614,0.8804,0.2303
0.1000,60.0000,27.0000,32.0000,71.0000,0.0000,63.0000,0.0000,87.0000,0.0000,249.0000,320.0000,0.0000,0.0000,241.0000,304.0000,0.0000,0.0000,221.0000,308.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,-4.2109,0.0116,0.0000,3.4035,0.0983,0.0000,-20.0111,0.0086,0.0000,221.0000,0.0000,0.0000,307.3030,0.9775,0.0000,25.0000,0.4000,0.9856,3.2903,0.9856,3.2903,0.8046,0.3489,3.2155,0.2388
0.1500,87.0000,89.0000,100.0000,105.0000,0.0000,105.0000,0.0000,266.0000,0.0000,232.0000,337.0000,0.0000,0.0000,233.0000,338.0000,0.0000,0.0000,212.0000,478.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.9341,0.5685,0.0000,12.4517,1.4725,0.0000,14.3273,1.1113,0.0000,212.2235,0.7019,0.0000,inf,nan,nan,25.0000,0.4000,1.0824,0.3071,1.0824,0.3071,1.0642,0.1257,0.1945,0.1120
0.2000,89.0000,87.0000,93.0000,105.0000,0.0000,107.0000,0.0000,137.0000,0.0000,232.0000,337.0000,0.0000,0.0000,226.0000,333.0000,0.0000,0.0000,208.0000,345.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.8052,0.0285,0.0000,18.5483,0.2049,0.0000,8.0133,0.0512,0.0000,208.0000,0.0000,0.0000,344.5663,0.7465,0.0000,25.0000,0.4000,1.0454,0.3008,1.0454,0.3008,1.0162,0.0692,0.2708,0.0445
0.2500,94.0000,90.0000,96.0000,105.0000,0.0000,105.0000,0.0000,146.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,203.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.3182,0.1311,0.0000,16.3272,0.1879,0.0000,9.0244,0.3111,0.0000,203.0000,0.0000,0.0000,348.6193,1.4305,0.0000,25.0000,0.4000,0.9846,0.0663,0.9846,0.0663,0.9860,0.0215,0.0529,0.0094
0.3000,93.0000,91.0000,100.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6961,0.0469,0.0000,16.5591,0.2069,0.0000,8.6492,0.0360,0.0000,207.0000,0.0000,0.0000,349.6799,1.0959,0.0000,25.0000,0.4000,1.0116,0.0359,1.0116,0.0359,1.0188,0.0147,0.0237,0.0118
0.3500,98.0000,97.0000,100.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6703,0.0042,0.0000,16.5731,0.2009,0.0000,8.5697,0.0000,0.0000,207.0000,0.0000,0.0000,348.4091,0.9134,0.0000,25.0000,0.4000,1.0007,0.0202,1.0007,0.0202,1.0018,0.0061,0.0161,0.0039
0.4000,95.0000,94.0000,100.0000,105.0000,0.0000,105.0000,0.0000,144.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,205.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.8152,0.0000,0.0000,16.7868,0.0000,0.0000,8.6631,0.0000,0.0000,205.0000,0.0000,0.0000,349.0000,0.0000,0.0000,25.0000,0.4000,1.0004,0.0005,1.0004,0.0005,1.0003,0.0002,0.0004,0.0002
0.4500,95.0000,98.0000,100.0000,105.0000,0.0000,105.0000,0.0000,443.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,650.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.7911,0.3215,0.0000,16.7089,0.6674,0.0000,8.8855,0.6585,0.0000,207.0189,0.1364,0.0000,inf,nan,nan,25.0000,0.4000,1.0043,0.0182,1.0043,0.0182,1.0035,0.0065,0.0135,0.0047
0.5000,94.0000,95.0000,98.0000,107.0000,0.0000,106.0000,0.0000,143.0000,0.0000,231.0000,338.0000,0.0000,0.0000,227.0000,333.0000,0.0000,0.0000,204.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,13.3588,0.0685,0.0000,17.8448,0.1082,0.0000,8.5968,0.0424,0.0000,204.0000,0.0000,0.0000,346.9867,0.8873,0.0000,25.0000,0.4000,0.9789,0.0547,0.9789,0.0547,0.9630,0.0225,0.0376,0.0201
0.5500,92.0000,94.0000,98.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,205.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6820,0.1452,0.0000,16.3796,0.3836,0.0000,9.0584,0.5759,0.0000,205.3409,0.7528,0.0000,348.8693,4.1900,0.0000,25.0000,0.4000,1.0155,0.0763,1.0155,0.0763,1.0169,0.0273,0.0555,0.0185
0.6000,81.0000,83.0000,97.0000,101.0000,0.0000,102.0000,0.0000,136.0000,0.0000,234.0000,335.0000,0.0000,0.0000,230.0000,332.0000,0.0000,0.0000,210.0000,346.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,10.6776,0.0283,0.0000,14.2940,0.0193,0.0000,7.6958,0.0723,0.0000,210.0000,0.0000,0.0000,346.3939,0.6313,0.0000,25.0000,0.4000,0.9832,0.1026,0.9832,0.1026,0.9674,0.0372,0.0727,0.0288
0.6500,83.0000,84.0000,97.0000,103.0000,0.0000,103.0000,0.0000,140.0000,0.0000,233.0000,336.0000,0.0000,0.0000,229.0000,332.0000,0.0000,0.0000,207.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,11.2529,0.0309,0.0000,15.2903,0.4208,0.0000,7.1671,0.0056,0.0000,207.0000,0.0000,0.0000,346.9811,0.3793,0.0000,25.0000,0.4000,0.9581,0.1632,0.9581,0.1632,0.9357,0.0666,0.1031,0.0569
0.7000,79.0000,81.0000,96.0000,115.0000,0.0000,113.0000,0.0000,146.0000,0.0000,227.0000,342.0000,0.0000,0.0000,224.0000,337.0000,0.0000,0.0000,207.0000,353.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,17.4032,0.1998,0.0000,20.8088,0.3524,0.0000,12.3730,0.2161,0.0000,207.0000,0.0000,0.0000,352.6705,1.1365,0.0000,25.0000,0.4000,0.9644,0.3783,0.9644,0.3783,0.9482,0.1021,0.3204,0.0496
0.7500,61.0000,67.0000,88.0000,95.0000,0.0000,95.0000,0.0000,130.0000,0.0000,237.0000,332.0000,0.0000,0.0000,234.0000,329.0000,0.0000,0.0000,213.0000,343.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,6.9578,0.0799,0.0000,10.2667,0.1007,0.0000,4.9469,0.0357,0.0000,213.0000,0.0000,0.0000,341.6534,0.9112,0.0000,25.0000,0.4000,0.6406,0.9120,0.6406,0.9120,0.6087,0.2323,0.8631,0.1999
0.8000,79.0000,44.0000,39.0000,139.0000,0.0000,116.0000,0.0000,113.0000,0.0000,216.0000,355.0000,0.0000,0.0000,243.0000,359.0000,0.0000,0.0000,248.0000,361.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,28.5062,0.1963,0.0000,inf,nan,nan,inf,nan,nan,248.1364,0.9506,0.0000,inf,nan,nan,25.0000,0.4000,0.5229,1.7916,0.5229,1.7916,0.3829,0.3668,1.7028,0.3175
0.8500,54.0000,59.0000,51.0000,87.0000,0.0000,81.0000,0.0000,83.0000,0.0000,241.0000,328.0000,0.0000,0.0000,240.0000,321.0000,0.0000,0.0000,242.0000,325.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,3.0453,0.0665,0.0000,4.2885,0.1298,0.0000,-3.7665,0.4540,0.0000,242.0000,0.0000,0.0000,inf,nan,nan,25.0000,0.4000,0.4221,0.7546,0.4221,0.7546,0.2763,0.3774,0.5775,0.3673
0.9000,31.0000,37.0000,61.0000,87.0000,0.0000,87.0000,0.0000,112.0000,0.0000,241.0000,328.0000,0.0000,0.0000,235.0000,322.0000,0.0000,0.0000,217.0000,329.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,2.9397,0.0964,0.0000,8.8493,0.1399,0.0000,-2.7996,0.0574,0.0000,217.0000,0.0000,0.0000,328.6723,1.2612,0.0000,25.0000,0.4000,0.1747,0.0822,0.1747,0.0822,0.1665,0.4126,0.0822,0.4168
0.9500,14.0000,10.0000,20.0000,57.0000,0.0000,18.0000,0.0000,43.0000,0.0000,256.0000,313.0000,0.0000,0.0000,256.0000,274.0000,0.0000,0.0000,250.0000,293.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,-11.6443,0.0000,0.0000,-11.5204,0.0000,0.0000,-50.8358,0.0000,0.0000,250.0000,0.0000,0.0000,293.0000,0.0000,0.0000,25.0000,0.4000,0.0391,0.8046,0.0391,0.8046,0.0001,0.5102,0.7277,0.4999
