epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,16.0000,4.0000,8.0000,43.0000,0.0000,5.0000,0.0000,8.0000,0.0000,263.0000,306.0000,0.0000,0.0000,305.0000,310.0000,0.0000,0.0000,306.0000,314.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,-18.7669,0.0000,0.0000,-60.5204,0.0000,0.0000,-14.3369,0.0000,0.0000,306.0000,0.0000,0.0000,314.0000,0.0000,0.0000,25.0000,0.4000,1.8468,26.7541,1.8468,26.7541,0.0000,1.3926,26.6222,0.5000
0.0500,60.0000,53.0000,55.0000,97.0000,0.0000,37.0000,0.0000,38.0000,0.0000,236.0000,333.0000,0.0000,0.0000,296.0000,333.0000,0.0000,0.0000,296.0000,334.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,8.0229,0.0000,0.0000,-51.1848,0.0000,0.0000,8.1781,0.0000,0.0000,296.0000,0.0000,0.0000,334.0000,0.0000,0.0000,25.0000,0.4000,1.5734,13.6925,1.5734,13.6925,0.0006,1.1423,13.5126,0.5000
0.1000,87.0000,65.0000,81.0000,125.0000,0.0000,109.0000,0.0000,142.0000,0.0000,222.0000,347.0000,0.0000,0.0000,221.0000,330.0000,0.0000,0.0000,201.0000,343.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,22.3557,0.0000,0.0000,23.2726,0.0000,0.0000,5.9325,0.0308,0.0000,201.0000,0.0000,0.0000,343.0000,0.0000,0.0000,25.0000,0.4000,0.9317,4.2203,0.9317,4.2203,0.6061,0.3757,4.1534,0.2326
0.1500,87.0000,86.0000,98.0000,105.0000,0.0000,105.0000,0.0000,136.0000,0.0000,232.0000,337.0000,0.0000,0.0000,231.0000,336.0000,0.0000,0.0000,217.0000,353.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.1671,0.0262,0.0000,13.6280,0.1580,0.0000,10.8723,0.2525,0.0000,217.0000,0.0000,0.0000,352.2064,0.4051,0.0000,25.0000,0.4000,1.0339,0.2915,1.0339,0.2915,0.9783,0.0937,0.2258,0.0563
0.2000,91.0000,89.0000,97.0000,105.0000,0.0000,106.0000,0.0000,147.0000,0.0000,232.0000,337.0000,0.0000,0.0000,230.0000,336.0000,0.0000,0.0000,204.0000,351.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.7153,0.0736,0.0000,15.1208,0.4697,0.0000,11.2809,0.2027,0.0000,204.0000,0.0000,0.0000,350.6212,1.4580,0.0000,25.0000,0.4000,1.0140,0.1354,1.0140,0.1354,1.0348,0.0470,0.0984,0.0305
0.2500,91.0000,89.0000,96.0000,105.0000,0.0000,104.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,332.0000,0.0000,0.0000,205.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.0241,0.0127,0.0000,16.3246,0.0271,0.0000,7.1704,0.0069,0.0000,205.0000,0.0000,0.0000,346.3220,0.4677,0.0000,25.0000,0.4000,0.9978,0.0885,0.9978,0.0885,1.0132,0.0277,0.0690,0.0149
0.3000,93.0000,91.0000,97.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6706,0.0040,0.0000,16.7728,0.0142,0.0000,8.5528,0.0486,0.0000,207.0000,0.0000,0.0000,348.4432,0.8973,0.0000,25.0000,0.4000,0.9974,0.0414,0.9974,0.0414,0.9981,0.0151,0.0286,0.0108
0.3500,94.0000,92.0000,99.0000,105.0000,0.0000,105.0000,0.0000,443.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,650.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.9382,0.3636,0.0000,17.0804,0.6392,0.0000,8.9025,0.7063,0.0000,207.0000,0.0000,0.0000,inf,nan,nan,25.0000,0.4000,0.9920,0.0147,0.9920,0.0147,0.9931,0.0055,0.0126,0.0037
0.4000,97.0000,96.0000,100.0000,105.0000,0.0000,105.0000,0.0000,144.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,205.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.8152,0.0000,0.0000,16.7868,0.0000,0.0000,8.6631,0.0000,0.0000,205.0000,0.0000,0.0000,349.0000,0.0000,0.0000,25.0000,0.4000,1.0001,0.0002,1.0001,0.0002,1.0000,0.0001,0.0002,0.0000
0.4500,96.0000,97.0000,100.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,207.0000,349.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.7616,0.0544,0.0000,16.6371,0.2075,0.0000,8.9020,0.2489,0.0000,207.0000,0.0000,0.0000,348.7311,1.1880,0.0000,25.0000,0.4000,1.0120,0.0188,1.0120,0.0188,1.0119,0.0085,0.0145,0.0066
0.5000,92.0000,94.0000,99.0000,105.0000,0.0000,105.0000,0.0000,139.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,208.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.2645,0.0160,0.0000,16.3190,0.0257,0.0000,8.2250,0.0194,0.0000,207.2898,0.4541,0.0000,346.7689,0.4219,0.0000,25.0000,0.4000,0.9862,0.0342,0.9862,0.0342,0.9952,0.0111,0.0294,0.0046
0.5500,90.0000,93.0000,98.0000,105.0000,0.0000,105.0000,0.0000,143.0000,0.0000,232.0000,337.0000,0.0000,0.0000,228.0000,333.0000,0.0000,0.0000,203.0000,346.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6631,0.0000,0.0000,16.7594,0.0053,0.0000,8.6631,0.0000,0.0000,203.0000,0.0000,0.0000,346.5814,0.4938,0.0000,25.0000,0.4000,0.9768,0.0777,0.9768,0.0777,0.9856,0.0279,0.0588,0.0179
0.6000,90.0000,90.0000,99.0000,105.0000,0.0000,105.0000,0.0000,142.0000,0.0000,232.0000,337.0000,0.0000,0.0000,227.0000,332.0000,0.0000,0.0000,205.0000,347.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.6226,0.0000,0.0000,17.1254,0.2235,0.0000,7.7549,0.1148,0.0000,205.0000,0.0000,0.0000,347.0000,0.0000,0.0000,25.0000,0.4000,0.9821,0.1113,0.9821,0.1113,0.9772,0.0344,0.0894,0.0173
0.6500,83.0000,87.0000,98.0000,105.0000,0.0000,106.0000,0.0000,148.0000,0.0000,232.0000,337.0000,0.0000,0.0000,229.0000,335.0000,0.0000,0.0000,203.0000,351.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,12.5265,0.1675,0.0000,15.6227,0.0006,0.0000,10.2880,0.0830,0.0000,203.0000,0.0000,0.0000,349.6136,0.9232,0.0000,25.0000,0.4000,0.9008,0.2195,0.9008,0.2195,0.8570,0.0913,0.1571,0.0853
0.7000,79.0000,80.0000,95.0000,109.0000,0.0000,109.0000,0.0000,134.0000,0.0000,230.0000,339.0000,0.0000,0.0000,227.0000,336.0000,0.0000,0.0000,212.0000,346.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,14.3037,0.0136,0.0000,17.4548,0.1811,0.0000,11.1901,0.0702,0.0000,212.0000,0.0000,0.0000,345.5530,0.8385,0.0000,25.0000,0.4000,0.8566,0.3337,0.8566,0.3337,0.7857,0.1339,0.2454,0.1194
0.7500,73.0000,80.0000,92.0000,109.0000,0.0000,104.0000,0.0000,139.0000,0.0000,230.0000,339.0000,0.0000,0.0000,222.0000,326.0000,0.0000,0.0000,199.0000,338.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,14.2447,0.0180,0.0000,22.6977,0.1132,0.0000,1.7413,0.1637,0.0000,199.0000,0.0000,0.0000,337.5284,0.7387,0.0000,25.0000,0.4000,0.8486,0.3646,0.8486,0.3646,0.8428,0.1195,0.3142,0.0864
0.8000,42.0000,54.0000,83.0000,78.0000,0.0000,69.0000,0.0000,91.0000,0.0000,245.0000,323.0000,0.0000,0.0000,237.0000,306.0000,0.0000,0.0000,216.0000,307.0000,0.0000,0.0000,244.0000,325.0000,0.0000,0.0000,-1.1057,0.1219,0.0000,7.7609,0.0080,0.0000,-18.5308,0.0806,0.0000,216.0000,0.0000,0.0000,306.4924,0.8008,0.0000,25.0000,0.4000,0.5421,0.6418,0.5421,0.6418,0.3506,0.3532,0.3500,0.3453
